"世代","最大評価値"
1,725876
2,727656
3,729746
4,730691
5,730691
6,730691
7,730790
8,730790
9,737191
10,739301
"世代","最大評価値"
1,721260
2,721260
3,721693
4,721693
5,721693
6,721693
7,721693
8,722195
9,722310
10,722310
"世代","最大評価値"
1,723022
2,723022
3,723022
4,723022
5,724221
6,724221
7,724221
8,724221
9,724221
10,724221
"世代","最大評価値"
1,723595
2,723595
3,723595
4,723595
5,723595
6,723595
7,723595
8,723595
9,723595
10,723595
11,723595
12,723595
13,723691
14,723691
15,723691
16,723691
17,723691
18,724154
19,724202
20,724202
21,724202
22,724202
23,724202
24,724202
25,725693
26,725693
27,725693
28,725693
29,725693
30,725693
31,725693
32,726317
33,726317
34,726317
35,726317
36,726317
37,726317
38,726317
39,726317
40,726317
41,726317
42,726317
43,726317
44,726317
45,726317
46,726317
47,726317
48,726846
49,726846
50,726846
